treatment_name,treatment_ID,category_name,description
abiyuch,1,Food & Drinks,
aboriginal medicine,2,Alternative Thearpies,
abscess root,3,Supplements,
abuta,4,Supplements,
acacia,5,Supplements,
acai,6,Supplements,
acerola,7,Supplements,
acerola,8,Food & Drinks,
acerola juice,9,Food & Drinks,
acetylcarnitine,10,Supplements,
acetyl-l-carnitine,11,Supplements,
ackee,12,Supplements,
aconite,13,Supplements,
acorn stew (apache),14,Food & Drinks,
activated charcoal,15,Supplements,
acupressure,16,Alternative Thearpies,
acupressure,17,Alternative Thearpies,
acupressure,18,Alternative Thearpies,
acupuncture,19,Alternative Thearpies,
acupuncture,20,Alternative Thearpies,
acupuncture,21,Alternative Thearpies,
adenosine,22,Supplements,
adrenal extract,23,Supplements,
adrue,24,Supplements,
african wild potato,25,Supplements,
aga,26,Supplements,
agar,27,Supplements,
agaricus mushroom,28,Supplements,
agave,29,Food & Drinks,
agrimony,30,Supplements,
agutuk,31,Food & Drinks,
ahcc,32,Supplements,
ajuga nipponensis,33,Supplements,
alanine,34,Supplements,
alchemilla,35,Supplements,
alcoholic beverage,36,Food & Drinks,
alcoholic beverages,37,Food & Drinks,
alder buckthorn,38,Supplements,
aletris,39,Supplements,
alexander technique,40,Alternative Thearpies,
alexander technique,41,Alternative Thearpies,
alfalfa,42,Supplements,
alfalfa seeds,43,Food & Drinks,
algin,44,Supplements,
alkanna,45,Supplements,
allspice,46,Supplements,
aloe,47,Supplements,
alpha hydroxy acids,48,Supplements,
alpha-gpc,49,Supplements,
alpha-gpc,50,Supplements,
alpha-ketoglutarate,51,Supplements,
alpha-linolenic acid,52,Supplements,
alpha-lipoic acid,53,Supplements,
alpine cranberry,54,Supplements,
alpine lady's mantle,55,Supplements,
alpine ragwort,56,Supplements,
alpinia,57,Supplements,
amaranth,58,Supplements,
amaranth grain,59,Food & Drinks,
amaranth leaves,60,Food & Drinks,
amatsu,61,Alternative Thearpies,
ambrette,62,Supplements,
american adder's tongue,63,Supplements,
american bittersweet,64,Supplements,
american chestnut,65,Supplements,
american dogwood,66,Supplements,
american elder,67,Supplements,
american hellebore,68,Supplements,
american ivy,69,Supplements,
american mistletoe,70,Supplements,
american pawpaw,71,Supplements,
american spikenard,72,Supplements,
american white pond lily,73,Supplements,
andiroba,74,Supplements,
andrachne,75,Supplements,
andrea's,76,Food & Drinks,
andrographis,77,Supplements,
androstenediol,78,Supplements,
androstenedione,79,Supplements,
androstenetrione,80,Supplements,
angelica,81,Supplements,
angel's trumpet,82,Supplements,
angostura,83,Supplements,
animal fat,84,Food & Drinks,
anise,85,Supplements,
annatto,86,Supplements,
apitherapy,87,Alternative Thearpies,
apple,88,Supplements,
apple cider vinegar,89,Supplements,
apple juice,90,Food & Drinks,
applebee's,91,Food & Drinks,
apples,92,Food & Drinks,
applesauce,93,Food & Drinks,
apricot,94,Supplements,
apricot kernel,95,Supplements,
apricot nectar,96,Food & Drinks,
apricot seed,97,Supplements,
apricots,98,Food & Drinks,
arby's,99,Food & Drinks,
archway home style cookies,100,Food & Drinks,
areca,101,Supplements,
arenaria rubra,102,Supplements,
aristolochia,103,Supplements,
arnica,104,Supplements,
aromatherapy,105,Alternative Thearpies,
aromatherapy,106,Alternative Thearpies,
aromatherapy•à?,107,Alternative Thearpies,
arrach,108,Supplements,
arrowhead,109,Food & Drinks,
arrowroot,110,Supplements,
arrowroot,111,Food & Drinks,
arrowroot flour,112,Food & Drinks,
arsenic,113,Supplements,
artemisia herba-alba,114,Supplements,
artichoke,115,Supplements,
artichokes,116,Food & Drinks,
artificial blueberry muffin mix,117,Food & Drinks,
arugula,118,Food & Drinks,
arum,119,Supplements,
asafoetida,120,Supplements,
asarabacca,121,Supplements,
ascidians (tunughnak) (alaska native),122,Food & Drinks,
ascorbigen,123,Supplements,
ash,124,Supplements,
ashitaba,125,Supplements,
ashwagandha,126,Supplements,
asparagus,127,Supplements,
asparagus,128,Food & Drinks,
asparagus racemosus,129,Supplements,
aspartates,130,Supplements,
aspen,131,Supplements,
astaxanthin,132,Supplements,
astragalus,133,Supplements,
atlantic cedar,134,Supplements,
atractylodes,135,Supplements,
auriculotherapy,136,Alternative Thearpies,
