Rheumatoid vasculitis,Autoimmune
Salivary Gland Cancer,Cancers
Sarcoidosis,Autoimmune
Sarcoma,Cancers
Sarcoma - Kaposi,Cancers
Schizophrenia,Mental
Schnitzler syndrome,Autoimmune
Scleroderma,Autoimmune
Short Bowel Syndrome,Digestive Disorders
Silent Thyroiditis,Endocrine Disorders
Sjogren's syndrome,Autoimmune
Skin Cancer,Cancers
Small Intestine Cancer,Cancers
Stiff person syndrome,Autoimmune
Stomach Cancer,Cancers
Stress response syndromes,Mental
Subacute bacterial endocarditis,Autoimmune
Susac's syndrome,Autoimmune
Sydenham chorea,Autoimmune
Sympathetic ophthalmia,Autoimmune
Systemic Lupus Erythematosus,Autoimmune
Systemic Lupus Erythematosus (SLE),Joints
Systemic scleroderma,Autoimmune
Testicular Cancer,Cancers
Thrombocytopenia,Autoimmune
Thymoma,Cancers
Thyroid Cancer,Cancers
Thyroid Cancer,Endocrine Disorders
Thyroid Diseases,Endocrine Disorders
Thyroid Nodules,Endocrine Disorders
Thyroiditis,Endocrine Disorders
Tolosa-Hunt syndrome,Autoimmune
Transverse myelitis,Autoimmune
Turner Syndrome,Endocrine Disorders
Type 1 Diabetes,Endocrine Disorders
Type 2 Diabetes,Endocrine Disorders
Ulcerative Colitis,Digestive Disorders
Ulcerative colitis,Autoimmune
Undifferentiated connective tissue disease,Autoimmune
Urticaria,Autoimmune
Urticarial vasculitis,Autoimmune
Uterine (Endometrial) Cancer,Cancers
Vaginal Cancer,Cancers
Vascular disease,Heart
Vasculitis,Autoimmune
Viral Gastroenteritis,Digestive Disorders
Vitiligo,Autoimmune
Whipple Disease,Digestive Disorders
Wilms' Tumor ,Cancers
Zollinger-Ellison Syndrome,Digestive Disorders
