ID,Supplements,Category,,,,,,,,,,,,,
1,?apricot seed,Supplements,,,,,,,,,,,,,
2,?black seed,Supplements,,,,,,,,,,,,,
3,?calcium,Supplements,,,,,,,,,,,,,
4,?chinese herbs,Supplements,,,,,,,,,,,,,
5,?cordyceps (fungi),Supplements,,,,,,,,,,,,,
6,?evening primrose oil,Supplements,,,,,,,,,,,,,
7,?fish oil/omega 3,Supplements,,,,,,,,,,,,,
8,?gingkgo,Supplements,,,,,,,,,,,,,
9,?ginseng,Supplements,,,,,,,,,,,,,
10,?grape seed,Supplements,,,,,,,,,,,,,
11,?green tea,Supplements,,,,,,,,,,,,,
12,?lecithin,Supplements,,,,,,,,,,,,,
13,?lingzhi/mushroom,Supplements,,,,,,,,,,,,,
14,?mangosteen juice/extract,Supplements,,,,,,,,,,,,,
15,?monavie,Supplements,,,,,,,,,,,,,
16,?multivitamin,Supplements,,,,,,,,,,,,,
17,?pomegranate extract,Supplements,,,,,,,,,,,,,
18,?sabah snake grass,Supplements,,,,,,,,,,,,,
19,?soursoup leaf,Supplements,,,,,,,,,,,,,
20,?spirulina,Supplements,,,,,,,,,,,,,
21,?virgin coconut oil,Supplements,,,,,,,,,,,,,
22,?vitamin a,Supplements,,,,,,,,,,,,,
23,?vitamin c,Supplements,,,,,,,,,,,,,
24,?zinc,Supplements,,,,,,,,,,,,,
25,abscess root,Supplements,,,,,,,,,,,,,
26,abuta,Supplements,,,,,,,,,,,,,
27,acacia,Supplements,,,,,,,,,,,,,
28,acai,Supplements,,,,,,,,,,,,,
29,acerola,Supplements,,,,,,,,,,,,,
30,acetylcarnitine,Supplements,,,,,,,,,,,,,
31,acetyl-l-carnitine,Supplements,,,,,,,,,,,,,
32,ackee,Supplements,,,,,,,,,,,,,
33,aconite,Supplements,,,,,,,,,,,,,
34,activated charcoal,Supplements,,,,,,,,,,,,,
35,adenosine,Supplements,,,,,,,,,,,,,
36,adrenal extract,Supplements,,,,,,,,,,,,,
37,adrue,Supplements,,,,,,,,,,,,,
38,african wild potato,Supplements,,,,,,,,,,,,,
39,aga,Supplements,,,,,,,,,,,,,
40,agar,Supplements,,,,,,,,,,,,,
41,agaricus mushroom,Supplements,,,,,,,,,,,,,
42,agrimony,Supplements,,,,,,,,,,,,,
43,ahcc,Supplements,,,,,,,,,,,,,
44,ajuga nipponensis,Supplements,,,,,,,,,,,,,
45,alanine,Supplements,,,,,,,,,,,,,
46,alchemilla,Supplements,,,,,,,,,,,,,
47,alder buckthorn,Supplements,,,,,,,,,,,,,
48,aletris,Supplements,,,,,,,,,,,,,
49,alfalfa,Supplements,,,,,,,,,,,,,
50,algin,Supplements,,,,,,,,,,,,,
51,alkanna,Supplements,,,,,,,,,,,,,
52,allspice,Supplements,,,,,,,,,,,,,
53,aloe,Supplements,,,,,,,,,,,,,
54,alpha hydroxy acids,Supplements,,,,,,,,,,,,,
55,alpha-gpc,Supplements,,,,,,,,,,,,,
56,alpha-gpc,Supplements,,,,,,,,,,,,,
57,alpha-ketoglutarate,Supplements,,,,,,,,,,,,,
58,alpha-linolenic acid,Supplements,,,,,,,,,,,,,
59,alpha-lipoic acid,Supplements,,,,,,,,,,,,,
60,alpine cranberry,Supplements,,,,,,,,,,,,,
