Condition Name, Treatment Name, Condition Category, Citation URL, # Matches
dermatomyositis, fish, Food and Drinks, https://www.hss.edu/conditions_nutrition-and-myositis.asp,158
dermatomyositis, oil, Food and Drinks, https://www.hss.edu/conditions_nutrition-and-myositis.asp,158
dermatomyositis, calcium, Food and Drinks, https://www.hss.edu/conditions_nutrition-and-myositis.asp,158
dermatomyositis, vegetables, Food and Drinks, https://www.hss.edu/conditions_nutrition-and-myositis.asp,158
dermatomyositis, vitamin d, Food and Drinks, https://www.hss.edu/conditions_nutrition-and-myositis.asp,158
dermatomyositis, nuts, Food and Drinks, https://www.hss.edu/conditions_nutrition-and-myositis.asp,158
dermatomyositis, flaxseed, Food and Drinks, https://www.hss.edu/conditions_nutrition-and-myositis.asp,158
dermatomyositis, beans, Food and Drinks, https://www.hss.edu/conditions_nutrition-and-myositis.asp,158
dermatomyositis, fat, Food and Drinks, https://www.hss.edu/conditions_nutrition-and-myositis.asp,158
dermatomyositis, milk, Food and Drinks, https://www.hss.edu/conditions_nutrition-and-myositis.asp,158
dermatomyositis, zinc, Food and Drinks, https://www.hss.edu/conditions_nutrition-and-myositis.asp,158
dermatomyositis, creatine, Food and Drinks, https://www.hss.edu/conditions_nutrition-and-myositis.asp,158
dermatomyositis, olive, Food and Drinks, https://www.hss.edu/conditions_nutrition-and-myositis.asp,158
dermatomyositis, selenium, Food and Drinks, https://www.hss.edu/conditions_nutrition-and-myositis.asp,158
dermatomyositis, soy, Food and Drinks, https://www.hss.edu/conditions_nutrition-and-myositis.asp,158
dermatomyositis, yogurt, Food and Drinks, https://www.hss.edu/conditions_nutrition-and-myositis.asp,158
dermatomyositis, poultry, Food and Drinks, https://www.hss.edu/conditions_nutrition-and-myositis.asp,158
dermatomyositis, salt, Food and Drinks, https://www.hss.edu/conditions_nutrition-and-myositis.asp,158
dermatomyositis, spices, Food and Drinks, https://www.hss.edu/conditions_nutrition-and-myositis.asp,158
dermatomyositis, wheat, Food and Drinks, https://www.hss.edu/conditions_nutrition-and-myositis.asp,158
dermatomyositis, fish oil, Food and Drinks, https://www.hss.edu/conditions_nutrition-and-myositis.asp,158
dermatomyositis, flaxseed oil, Food and Drinks, https://www.hss.edu/conditions_nutrition-and-myositis.asp,158
dermatomyositis, ginger, Food and Drinks, https://www.hss.edu/conditions_nutrition-and-myositis.asp,158
dermatomyositis, turmeric, Food and Drinks, https://www.hss.edu/conditions_nutrition-and-myositis.asp,158
dermatomyositis, vitamin e, Food and Drinks, https://www.hss.edu/conditions_nutrition-and-myositis.asp,158
dermatomyositis, nutritional supplements, Food and Drinks, https://www.hss.edu/conditions_nutrition-and-myositis.asp,158
dermatomyositis, cereals, Food and Drinks, https://www.hss.edu/conditions_nutrition-and-myositis.asp,158
dermatomyositis, pasta, Food and Drinks, https://www.hss.edu/conditions_nutrition-and-myositis.asp,158
dermatomyositis, rice, Food and Drinks, https://www.hss.edu/conditions_nutrition-and-myositis.asp,158
dermatomyositis, salmon, Food and Drinks, https://www.hss.edu/conditions_nutrition-and-myositis.asp,158
dermatomyositis, seeds, Food and Drinks, https://www.hss.edu/conditions_nutrition-and-myositis.asp,158
dermatomyositis, sugar, Food and Drinks, https://www.hss.edu/conditions_nutrition-and-myositis.asp,158
dermatomyositis, vitamin a, Food and Drinks, https://www.hss.edu/conditions_nutrition-and-myositis.asp,158
dermatomyositis, vitamin c, Food and Drinks, https://www.hss.edu/conditions_nutrition-and-myositis.asp,158
dermatomyositis, avocado, Food and Drinks, https://www.hss.edu/conditions_nutrition-and-myositis.asp,158
dermatomyositis, barley, Food and Drinks, https://www.hss.edu/conditions_nutrition-and-myositis.asp,158
dermatomyositis, broccoli, Food and Drinks, https://www.hss.edu/conditions_nutrition-and-myositis.asp,158
